user_id,movie_id,rating,timestamp
user_1,movie_14,1.9,2024-06-05 09:24:51.142027
user_1,movie_7,3.5,2024-04-14 09:24:51.143027
user_1,movie_17,4.8,2024-07-20 09:24:51.143027
user_1,movie_19,1.6,2024-06-20 09:24:51.143027
user_1,movie_10,2.6,2024-08-04 09:24:51.143027
user_1,movie_15,4.3,2024-05-31 09:24:51.143027
user_1,movie_5,2.3,2024-01-17 09:24:51.143027
user_1,movie_13,3.8,2024-11-16 09:24:51.144028
user_1,movie_8,4.8,2024-11-08 09:24:51.144028
user_1,movie_11,1.8,2024-05-15 09:24:51.144028
user_1,movie_1,3.2,2024-04-16 09:24:51.144028
user_1,movie_6,1.2,2023-12-13 09:24:51.144028
user_1,movie_18,3.6,2024-05-28 09:24:51.144028
user_1,movie_3,1.8,2024-09-18 09:24:51.144028
user_1,movie_16,2.1,2024-10-18 09:24:51.144028
user_1,movie_20,1.3,2024-02-11 09:24:51.144028
user_1,movie_12,5.0,2024-07-21 09:24:51.144028
user_1,movie_4,2.3,2024-07-08 09:24:51.144028
user_2,movie_12,2.5,2024-04-14 09:24:51.144028
user_2,movie_16,4.2,2023-12-01 09:24:51.144028
user_2,movie_19,2.2,2024-03-08 09:24:51.144028
user_2,movie_1,3.3,2023-11-23 09:24:51.144028
user_2,movie_20,2.6,2024-04-25 09:24:51.144028
user_2,movie_8,2.0,2024-09-22 09:24:51.144028
user_2,movie_6,4.4,2024-03-31 09:24:51.144028
user_2,movie_3,1.8,2023-12-21 09:24:51.144028
user_2,movie_5,3.2,2024-11-16 09:24:51.144028
user_2,movie_9,3.0,2024-07-08 09:24:51.144028
user_3,movie_10,4.4,2024-04-23 09:24:51.144028
user_3,movie_11,3.4,2024-03-18 09:24:51.144028
user_3,movie_7,3.6,2023-12-24 09:24:51.144028
user_3,movie_13,2.5,2024-01-04 09:24:51.144028
user_3,movie_8,2.7,2024-03-22 09:24:51.144028
user_3,movie_4,1.9,2024-09-06 09:24:51.144028
user_3,movie_15,3.9,2023-12-22 09:24:51.144028
user_3,movie_19,2.0,2024-05-18 09:24:51.144028
user_3,movie_12,2.4,2024-06-09 09:24:51.144028
user_3,movie_6,1.0,2024-08-11 09:24:51.144028
user_3,movie_3,4.8,2024-06-28 09:24:51.144028
user_4,movie_3,4.6,2024-02-21 09:24:51.144028
user_4,movie_17,2.3,2024-07-12 09:24:51.144028
user_4,movie_15,1.2,2024-02-22 09:24:51.144028
